dataset,model,seed,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_target_homophily,meta_p_in,meta_p_out,meta_seed,meta_num_nodes,meta_num_edges,meta_edge_homophily,filter_weights
synthetic_h020,harp,0,1.0,0.44999998807907104,0.44999998807907104,0.00028235168429091573,3.0473692417144775,3.1219773292541504,59,0.4058234691619873,synthetic,0.2,0.020202020202020204,0.04,0,300,1479,0.21771467207572684,"{'low': [0.3001672625541687, 0.23158302903175354, 0.2334858626127243, 0.23476377129554749], 'high': [0.42372867465019226, 0.28227052092552185, 0.29400086402893066]}"
synthetic_h020,harp_low,0,1.0,0.36666667461395264,0.43888887763023376,0.010066602379083633,2.1445794105529785,2.234053611755371,21,0.18402814865112305,synthetic,0.2,0.020202020202020204,0.04,0,300,1479,0.21771467207572684,"{'low': [0.3152688145637512, 0.2298220545053482, 0.22589248418807983, 0.22901664674282074], 'high': [0.3333333432674408, 0.3333333432674408, 0.3333333432674408]}"
synthetic_h020,harp_high,0,1.0,0.5333333611488342,0.5055555701255798,0.05020848289132118,1.3197561502456665,1.4042189121246338,11,0.2393813133239746,synthetic,0.2,0.020202020202020204,0.04,0,300,1479,0.21771467207572684,"{'low': [0.25, 0.25, 0.25, 0.25], 'high': [0.3774257004261017, 0.3109045624732971, 0.3116696774959564]}"
synthetic_h020,harp_no_signal,0,1.0,0.46666666865348816,0.4333333373069763,0.00022476415324490517,3.0603978633880615,3.2289795875549316,76,0.7752106189727783,synthetic,0.2,0.020202020202020204,0.04,0,300,1479,0.21771467207572684,"{'low': [0.29891321063041687, 0.2299502044916153, 0.2349136769771576, 0.23622295260429382], 'high': [0.42771732807159424, 0.27974170446395874, 0.29254087805747986]}"
synthetic_h020,harp,1,1.0,0.5166666507720947,0.49444442987442017,0.058911409229040146,1.4356482028961182,1.414968490600586,10,0.3216276168823242,synthetic,0.2,0.020202020202020204,0.04,1,300,1498,0.19893190921228304,"{'low': [0.26640117168426514, 0.23406139016151428, 0.25463196635246277, 0.2449055016040802], 'high': [0.3756096065044403, 0.3117856979370117, 0.312604695558548]}"
synthetic_h020,harp_low,1,1.0,0.5166666507720947,0.4555555582046509,0.00027081850566901267,2.954376220703125,2.9069573879241943,73,0.553429126739502,synthetic,0.2,0.020202020202020204,0.04,1,300,1498,0.19893190921228304,"{'low': [0.33889850974082947, 0.21060369908809662, 0.23224706947803497, 0.21825076639652252], 'high': [0.3333333432674408, 0.3333333432674408, 0.3333333432674408]}"
synthetic_h020,harp_high,1,0.9833333492279053,0.5833333134651184,0.5666666626930237,0.26110756397247314,0.9932242631912231,0.9604858160018921,5,0.19552326202392578,synthetic,0.2,0.020202020202020204,0.04,1,300,1498,0.19893190921228304,"{'low': [0.25, 0.25, 0.25, 0.25], 'high': [0.3362768292427063, 0.32690340280532837, 0.33681976795196533]}"
synthetic_h020,harp_no_signal,1,1.0,0.5166666507720947,0.5055555701255798,0.05960414931178093,1.4294739961624146,1.4120737314224243,10,0.3311150074005127,synthetic,0.2,0.020202020202020204,0.04,1,300,1498,0.19893190921228304,"{'low': [0.26671186089515686, 0.23363661766052246, 0.2546998858451843, 0.24495159089565277], 'high': [0.37537693977355957, 0.31184980273246765, 0.3127732276916504]}"
synthetic_h020,harp,2,1.0,0.4833333194255829,0.46666666865348816,0.0018882981967180967,2.4431638717651367,2.5399930477142334,23,0.3792552947998047,synthetic,0.2,0.020202020202020204,0.04,2,300,1489,0.2102081934184016,"{'low': [0.2729392349720001, 0.2523854374885559, 0.25113070011138916, 0.22354468703269958], 'high': [0.39445218443870544, 0.29297810792922974, 0.3125697076320648]}"
synthetic_h020,harp_low,2,1.0,0.46666666865348816,0.42222222685813904,0.02651110850274563,1.7315465211868286,1.9336475133895874,13,0.253338098526001,synthetic,0.2,0.020202020202020204,0.04,2,300,1489,0.2102081934184016,"{'low': [0.29468148946762085, 0.24409247934818268, 0.23055456578731537, 0.2306714951992035], 'high': [0.3333333432674408, 0.3333333432674408, 0.3333333432674408]}"
synthetic_h020,harp_high,2,1.0,0.6000000238418579,0.5222222208976746,0.0027979768346995115,1.7552359104156494,1.9577291011810303,22,0.3003087043762207,synthetic,0.2,0.020202020202020204,0.04,2,300,1489,0.2102081934184016,"{'low': [0.25, 0.25, 0.25, 0.25], 'high': [0.3643878698348999, 0.2878924608230591, 0.347719669342041]}"
synthetic_h020,harp_no_signal,2,1.0,0.4833333194255829,0.4611110985279083,0.0027325779665261507,2.311748743057251,2.412461519241333,21,0.4052853584289551,synthetic,0.2,0.020202020202020204,0.04,2,300,1489,0.2102081934184016,"{'low': [0.26824459433555603, 0.25278156995773315, 0.2513658106327057, 0.22760796546936035], 'high': [0.39334380626678467, 0.2946469187736511, 0.312009334564209]}"
synthetic_h050,harp,0,1.0,0.5833333134651184,0.5555555820465088,0.0004917730111628771,1.778324007987976,2.354494094848633,35,0.5344879627227783,synthetic,0.5,0.050505050505050504,0.025,0,300,1523,0.5134602757715037,"{'low': [0.221205934882164, 0.28864437341690063, 0.2579522728919983, 0.2321973592042923], 'high': [0.39135774970054626, 0.300128310918808, 0.3085138499736786]}"
synthetic_h050,harp_low,0,1.0,0.6000000238418579,0.5444444417953491,0.043799541890621185,1.0573698282241821,1.2728095054626465,12,0.2536787986755371,synthetic,0.5,0.050505050505050504,0.025,0,300,1523,0.5134602757715037,"{'low': [0.27219757437705994, 0.25817376375198364, 0.23808902502059937, 0.23153971135616302], 'high': [0.3333333432674408, 0.3333333432674408, 0.3333333432674408]}"
