dataset,model,seed,train_acc,val_acc,test_acc,metric_name,train_metric,val_metric,test_metric,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_source,meta_split_id,meta_make_undirected,meta_num_nodes,meta_num_edges,meta_edge_homophily
roman-empire,mlp,0,0.6558997631072998,0.649249792098999,0.6394281387329102,accuracy,0.6558997631072998,0.649249792098999,0.6394281387329102,1.0850130319595337,1.1508980989456177,1.1500366926193237,138,12.007749319076538,heterophilous_graphs,roman_empire,0,True,22662,32927,0.04689160871017706
roman-empire,gcn,0,0.43729591369628906,0.4176522493362427,0.4099894165992737,accuracy,0.43729591369628906,0.4176522493362427,0.4099894165992737,1.7184813022613525,1.775965929031372,1.7939523458480835,246,22.30365800857544,heterophilous_graphs,roman_empire,0,True,22662,32927,0.04689160871017706
roman-empire,sgc,0,0.3730473816394806,0.3560459017753601,0.3603953421115875,accuracy,0.3730473816394806,0.3560459017753601,0.3603953421115875,1.98983633518219,2.0159804821014404,2.025949001312256,250,5.783984661102295,heterophilous_graphs,roman_empire,0,True,22662,32927,0.04689160871017706
roman-empire,appnp,0,0.5116935968399048,0.49885261058807373,0.4938228130340576,accuracy,0.5116935968399048,0.49885261058807373,0.4938228130340576,1.6153550148010254,1.6519869565963745,1.6668850183486938,227,43.57909846305847,heterophilous_graphs,roman_empire,0,True,22662,32927,0.04689160871017706
roman-empire,mixhop,0,0.8289647698402405,0.7795233726501465,0.776385486125946,accuracy,0.8289647698402405,0.7795233726501465,0.776385486125946,0.5617882013320923,0.7096291184425354,0.722442090511322,249,37.39131164550781,heterophilous_graphs,roman_empire,0,True,22662,32927,0.04689160871017706
roman-empire,gprgnn,0,0.71811842918396,0.700441300868988,0.6923756003379822,accuracy,0.71811842918396,0.700441300868988,0.6923756003379822,0.935874879360199,1.0140503644943237,1.0235909223556519,244,42.797569036483765,heterophilous_graphs,roman_empire,0,True,22662,32927,0.04689160871017706
roman-empire,h2gcn,0,0.8027535080909729,0.7855251431465149,0.7811506986618042,accuracy,0.8027535080909729,0.7855251431465149,0.7811506986618042,0.618791937828064,0.6826659440994263,0.6932268738746643,236,60.974971532821655,heterophilous_graphs,roman_empire,0,True,22662,32927,0.04689160871017706
roman-empire,linkx,0,0.7108816504478455,0.6130626797676086,0.5983057022094727,accuracy,0.7108816504478455,0.6130626797676086,0.5983057022094727,0.9354047775268555,1.2815337181091309,1.2847483158111572,57,15.462084770202637,heterophilous_graphs,roman_empire,0,True,22662,32927,0.04689160871017706
roman-empire,mlp,1,0.6570470333099365,0.6515445709228516,0.648958683013916,accuracy,0.6570470333099365,0.6515445709228516,0.648958683013916,1.07243013381958,1.1172420978546143,1.1219919919967651,214,17.794486045837402,heterophilous_graphs,roman_empire,1,True,22662,32927,0.04689160871017706
roman-empire,gcn,1,0.43217721581459045,0.4199470579624176,0.4193434417247772,accuracy,0.43217721581459045,0.4199470579624176,0.4193434417247772,1.7334952354431152,1.7704102993011475,1.7806097269058228,249,24.531927585601807,heterophilous_graphs,roman_empire,1,True,22662,32927,0.04689160871017706
roman-empire,sgc,1,0.366516649723053,0.35745808482170105,0.35933640599250793,accuracy,0.366516649723053,0.35745808482170105,0.35933640599250793,1.9969534873962402,2.01468825340271,2.0231621265411377,244,6.1834495067596436,heterophilous_graphs,roman_empire,1,True,22662,32927,0.04689160871017706
roman-empire,appnp,1,0.5026917457580566,0.4935569167137146,0.4902929663658142,accuracy,0.5026917457580566,0.4935569167137146,0.4902929663658142,1.6342824697494507,1.6555885076522827,1.6665986776351929,237,44.45850133895874,heterophilous_graphs,roman_empire,1,True,22662,32927,0.04689160871017706
roman-empire,mixhop,1,0.8286117911338806,0.7876434326171875,0.7753264904022217,accuracy,0.8286117911338806,0.7876434326171875,0.7753264904022217,0.5680110454559326,0.6961348056793213,0.7115474343299866,227,36.41251730918884,heterophilous_graphs,roman_empire,1,True,22662,32927,0.04689160871017706
roman-empire,gprgnn,1,0.7073515057563782,0.6993821859359741,0.6994352340698242,accuracy,0.7073515057563782,0.6993821859359741,0.6994352340698242,0.9694259762763977,1.0109543800354004,1.028559923171997,197,44.77490711212158,heterophilous_graphs,roman_empire,1,True,22662,32927,0.04689160871017706
roman-empire,h2gcn,1,0.800547182559967,0.7830538153648376,0.7841510772705078,accuracy,0.800547182559967,0.7830538153648376,0.7841510772705078,0.624117910861969,0.6777591705322266,0.6826688051223755,219,73.86545038223267,heterophilous_graphs,roman_empire,1,True,22662,32927,0.04689160871017706
roman-empire,linkx,1,0.7234136462211609,0.6180052757263184,0.6178961992263794,accuracy,0.7234136462211609,0.6180052757263184,0.6178961992263794,0.9134101867675781,1.2210516929626465,1.2242159843444824,55,21.42524766921997,heterophilous_graphs,roman_empire,1,True,22662,32927,0.04689160871017706
roman-empire,mlp,2,0.6587238311767578,0.6441306471824646,0.6482527256011963,accuracy,0.6587238311767578,0.6441306471824646,0.6482527256011963,1.0445713996887207,1.126771092414856,1.123172640800476,246,24.193199396133423,heterophilous_graphs,roman_empire,2,True,22662,32927,0.04689160871017706
roman-empire,gcn,2,0.4381784498691559,0.4257722795009613,0.41140133142471313,accuracy,0.4381784498691559,0.4257722795009613,0.41140133142471313,1.7274539470672607,1.7694381475448608,1.798710584640503,223,31.9665105342865,heterophilous_graphs,roman_empire,2,True,22662,32927,0.04689160871017706
roman-empire,sgc,2,0.3726061284542084,0.36716681718826294,0.3494528830051422,accuracy,0.3726061284542084,0.36716681718826294,0.3494528830051422,1.99277663230896,2.0047073364257812,2.0323829650878906,240,8.410831689834595,heterophilous_graphs,roman_empire,2,True,22662,32927,0.04689160871017706
roman-empire,appnp,2,0.513546884059906,0.5027360916137695,0.4909989535808563,accuracy,0.513546884059906,0.5027360916137695,0.4909989535808563,1.6073318719863892,1.6327009201049805,1.664262294769287,245,56.589555501937866,heterophilous_graphs,roman_empire,2,True,22662,32927,0.04689160871017706
roman-empire,mixhop,2,0.8323184251785278,0.7717564105987549,0.7716202139854431,accuracy,0.8323184251785278,0.7717564105987549,0.7716202139854431,0.5509023666381836,0.7270718812942505,0.7147709727287292,247,41.79933500289917,heterophilous_graphs,roman_empire,2,True,22662,32927,0.04689160871017706
roman-empire,gprgnn,2,0.729326605796814,0.7023830413818359,0.6990822553634644,accuracy,0.729326605796814,0.7023830413818359,0.6990822553634644,0.9176910519599915,1.0217164754867554,1.0146005153656006,244,36.18775129318237,heterophilous_graphs,roman_empire,2,True,22662,32927,0.04689160871017706
roman-empire,h2gcn,2,0.8089312314987183,0.7766990065574646,0.7779738903045654,accuracy,0.8089312314987183,0.7766990065574646,0.7779738903045654,0.6096177101135254,0.6967014670372009,0.6865643262863159,250,54.09705138206482,heterophilous_graphs,roman_empire,2,True,22662,32927,0.04689160871017706
roman-empire,linkx,2,0.7550083994865417,0.6070609092712402,0.59283447265625,accuracy,0.7550083994865417,0.6070609092712402,0.59283447265625,0.7955246567726135,1.3090482950210571,1.328183889389038,65,14.341991186141968,heterophilous_graphs,roman_empire,2,True,22662,32927,0.04689160871017706
roman-empire,mlp,3,0.6607536673545837,0.6436010599136353,0.6420755386352539,accuracy,0.6607536673545837,0.6436010599136353,0.6420755386352539,1.0699573755264282,1.1315233707427979,1.1262286901474,205,16.259057998657227,heterophilous_graphs,roman_empire,3,True,22662,32927,0.04689160871017706
roman-empire,gcn,3,0.4402082860469818,0.41835832595825195,0.41722556948661804,accuracy,0.4402082860469818,0.41835832595825195,0.41722556948661804,1.7244809865951538,1.7684319019317627,1.7717890739440918,249,21.386943817138672,heterophilous_graphs,roman_empire,3,True,22662,32927,0.04689160871017706
roman-empire,sgc,3,0.3699585199356079,0.35145631432533264,0.3602188527584076,accuracy,0.3699585199356079,0.35145631432533264,0.3602188527584076,1.9939613342285156,2.0162017345428467,2.0145821571350098,250,5.1546831130981445,heterophilous_graphs,roman_empire,3,True,22662,32927,0.04689160871017706
roman-empire,appnp,3,0.504192054271698,0.4947925806045532,0.4851747155189514,accuracy,0.504192054271698,0.4947925806045532,0.4851747155189514,1.6266549825668335,1.6541450023651123,1.661515235900879,222,38.20570707321167,heterophilous_graphs,roman_empire,3,True,22662,32927,0.04689160871017706
roman-empire,mixhop,3,0.8300238251686096,0.7714033722877502,0.7739145755767822,accuracy,0.8300238251686096,0.7714033722877502,0.7739145755767822,0.5607877373695374,0.7120833992958069,0.7049477696418762,245,33.0250723361969,heterophilous_graphs,roman_empire,3,True,22662,32927,0.04689160871017706
roman-empire,gprgnn,3,0.7158238291740417,0.6923213005065918,0.692728579044342,accuracy,0.7158238291740417,0.6923213005065918,0.692728579044342,0.9447253346443176,1.0197675228118896,1.0051321983337402,244,45.54025149345398,heterophilous_graphs,roman_empire,3,True,22662,32927,0.04689160871017706
roman-empire,h2gcn,3,0.8008119463920593,0.7738746404647827,0.7703847289085388,accuracy,0.8008119463920593,0.7738746404647827,0.7703847289085388,0.6155755519866943,0.6860535144805908,0.6854719519615173,240,80.50718975067139,heterophilous_graphs,roman_empire,3,True,22662,32927,0.04689160871017706
roman-empire,linkx,3,0.7157356142997742,0.6091791987419128,0.6066007614135742,accuracy,0.7157356142997742,0.6091791987419128,0.6066007614135742,0.9273133873939514,1.2772878408432007,1.2747451066970825,55,20.590700149536133,heterophilous_graphs,roman_empire,3,True,22662,32927,0.04689160871017706
roman-empire,mlp,4,0.6599593758583069,0.64377760887146,0.641722559928894,accuracy,0.6599593758583069,0.64377760887146,0.641722559928894,1.0543369054794312,1.1326782703399658,1.126064658164978,244,24.182038068771362,heterophilous_graphs,roman_empire,4,True,22662,32927,0.04689160871017706
roman-empire,gcn,4,0.444003164768219,0.4188879132270813,0.41722556948661804,accuracy,0.444003164768219,0.4188879132270813,0.41722556948661804,1.7172924280166626,1.7710708379745483,1.7739837169647217,247,30.650120496749878,heterophilous_graphs,roman_empire,4,True,22662,32927,0.04689160871017706
roman-empire,sgc,4,0.3729591369628906,0.350220650434494,0.3522767424583435,accuracy,0.3729591369628906,0.350220650434494,0.3522767424583435,1.991281509399414,2.014403820037842,2.017495632171631,249,8.321646690368652,heterophilous_graphs,roman_empire,4,True,22662,32927,0.04689160871017706
roman-empire,appnp,4,0.5092225074768066,0.49514561891555786,0.49858805537223816,accuracy,0.5092225074768066,0.49514561891555786,0.49858805537223816,1.6149874925613403,1.6528762578964233,1.6549466848373413,233,59.071579694747925,heterophilous_graphs,roman_empire,4,True,22662,32927,0.04689160871017706
roman-empire,mixhop,4,0.8311710953712463,0.7777581810951233,0.7657960057258606,accuracy,0.8311710953712463,0.7777581810951233,0.7657960057258606,0.5526627898216248,0.7077352404594421,0.7194061279296875,245,49.24411153793335,heterophilous_graphs,roman_empire,4,True,22662,32927,0.04689160871017706
roman-empire,gprgnn,4,0.7218250632286072,0.6928508281707764,0.6899046897888184,accuracy,0.7218250632286072,0.6928508281707764,0.6899046897888184,0.9302536249160767,1.021045446395874,1.0180131196975708,250,59.38362121582031,heterophilous_graphs,roman_empire,4,True,22662,32927,0.04689160871017706
roman-empire,h2gcn,4,0.8033713102340698,0.7811120748519897,0.7689728140830994,accuracy,0.8033713102340698,0.7811120748519897,0.7689728140830994,0.6255893111228943,0.6922513842582703,0.7025474905967712,229,79.26282501220703,heterophilous_graphs,roman_empire,4,True,22662,32927,0.04689160871017706
roman-empire,linkx,4,0.709557831287384,0.620123565196991,0.61630779504776,accuracy,0.709557831287384,0.620123565196991,0.61630779504776,0.9569801688194275,1.2437773942947388,1.233582854270935,56,19.092114686965942,heterophilous_graphs,roman_empire,4,True,22662,32927,0.04689160871017706
roman-empire,mlp,5,0.654487669467926,0.6476610898971558,0.6498411297798157,accuracy,0.654487669467926,0.6476610898971558,0.6498411297798157,1.0697994232177734,1.1238644123077393,1.1029261350631714,246,23.130266666412354,heterophilous_graphs,roman_empire,5,True,22662,32927,0.04689160871017706
