"dataset","model","seed","train_acc","val_acc","test_acc","metric_name","train_metric","val_metric","test_metric","train_loss","val_loss","test_loss","best_epoch","elapsed_sec","train_roc_auc","val_roc_auc","test_roc_auc","meta_dataset_type","meta_source","meta_split_id","meta_make_undirected","meta_num_nodes","meta_num_edges","meta_edge_homophily","filter_weights","diag_gate_mean","diag_gate_std","diag_gate_q25","diag_gate_median","diag_gate_q75","diag_gate_gt_0_5","diag_gate_min","diag_gate_max","diag_gate_features","diag_ego_norm","diag_residual_norm"
"minesweeper","harp","0","0.8941055","0.867688","0.870195","roc_auc","0.8941055","0.867688","0.870195","0.3049674332141876","0.3354562819004059","0.33339905738830566","246","57.69490456581116","0.8941055","0.867688","0.870195","heterophilous_graphs","minesweeper","0","True","10000","39402","0.682782599868027","{'low': [0.07032801955938339, 0.8812306523323059, 0.025726832449436188, 0.02271454967558384], 'high': [0.8787285089492798, 0.04699909687042236, 0.0742722675204277]}","0.4161064326763153","0.06442270427942276","0.3736079931259155","0.4294563829898834","0.47501569986343384","0.015625","0.27689865231513977","0.530589759349823","64.0","",""
"minesweeper","harp_esep","0","0.90432625","0.881828","0.892638","roc_auc","0.90432625","0.881828","0.892638","0.32313042879104614","0.33742567896842957","0.33123621344566345","160","43.118643283843994","0.90432625","0.881828","0.892638","heterophilous_graphs","minesweeper","0","True","10000","39402","0.682782599868027","{'low': [0.1056024357676506, 0.7348014712333679, 0.15959613025188446], 'high': [0.09685704857110977, 0.9031428694725037]}","0.5013518929481506","0.11285940557718277","0.4408131241798401","0.5012071132659912","0.5778270959854126","0.5045515894889832","0.1579436957836151","0.8154470324516296","64.0","1.7157294750213623","0.6819936633110046"
"minesweeper","harp","1","0.883597","0.877292","0.886503","roc_auc","0.883597","0.877292","0.886503","0.3149831295013428","0.3230975866317749","0.3162442147731781","234","59.69688582420349","0.883597","0.877292","0.886503","heterophilous_graphs","minesweeper","1","True","10000","39402","0.682782599868027","{'low': [0.08793549239635468, 0.848357081413269, 0.03326977416872978, 0.030437644571065903], 'high': [0.8770735859870911, 0.047908175736665726, 0.07501821964979172]}","0.41254356503486633","0.06413937360048294","0.3558656871318817","0.4420258402824402","0.4728938937187195","0.0","0.2834602892398834","0.4772477149963379","64.0","",""
"minesweeper","harp_esep","1","0.8926735","0.893418","0.898894","roc_auc","0.8926735","0.893418","0.898894","0.33418187499046326","0.3351719081401825","0.3314799666404724","206","48.30537247657776","0.8926735","0.893418","0.898894","heterophilous_graphs","minesweeper","1","True","10000","39402","0.682782599868027","{'low': [0.10081683844327927, 0.7129701375961304, 0.18621297180652618], 'high': [0.08672964572906494, 0.9132702946662903]}","0.49022939801216125","0.10786917805671692","0.43620312213897705","0.49084874987602234","0.53950035572052","0.362290620803833","0.1912171095609665","0.8375739455223083","64.0","1.4976123571395874","0.6443946361541748"
"minesweeper","harp","2","0.89478925","0.876015","0.878802","roc_auc","0.89478925","0.876015","0.878802","0.3032514750957489","0.32331469655036926","0.3202986717224121","233","59.10307455062866","0.89478925","0.876015","0.878802","heterophilous_graphs","minesweeper","2","True","10000","39402","0.682782599868027","{'low': [0.10063295811414719, 0.7824273109436035, 0.06158512085676193, 0.05535467341542244], 'high': [0.8129734396934509, 0.0739220380783081, 0.11310455948114395]}","0.41753387451171875","0.061713963747024536","0.38402700424194336","0.4460861086845398","0.47151562571525574","0.0","0.2528942823410034","0.4725351929664612","64.0","",""
"minesweeper","harp_esep","2","0.89656175","0.894676","0.894206","roc_auc","0.89656175","0.894676","0.894206","0.331074595451355","0.3337704837322235","0.33335986733436584","235","48.21166229248047","0.89656175","0.894676","0.894206","heterophilous_graphs","minesweeper","2","True","10000","39402","0.682782599868027","{'low': [0.08235479891300201, 0.7506117224693298, 0.16703347861766815], 'high': [0.07253064960241318, 0.9274693727493286]}","0.511890172958374","0.08506734669208527","0.48238611221313477","0.5097980499267578","0.5423493385314941","0.5683359503746033","0.25654706358909607","0.81353360414505","64.0","1.373317003250122","0.5286536812782288"
"minesweeper","harp","3","0.88956825","0.867848","0.878969","roc_auc","0.88956825","0.867848","0.878969","0.3108464181423187","0.3363574743270874","0.322208970785141","244","58.58037233352661","0.88956825","0.867848","0.878969","heterophilous_graphs","minesweeper","3","True","10000","39402","0.682782599868027","{'low': [0.07996261119842529, 0.8729932904243469, 0.024490414187312126, 0.02255367673933506], 'high': [0.8856408596038818, 0.04306871071457863, 0.07129040360450745]}","0.40635278820991516","0.06721431016921997","0.36710670590400696","0.4209764897823334","0.47221308946609497","0.00037343750591389835","0.2392827421426773","0.5058967471122742","64.0","",""
"minesweeper","harp_esep","3","0.899723","0.8826425","0.894495","roc_auc","0.899723","0.8826425","0.894495","0.3313755989074707","0.34350162744522095","0.33560889959335327","156","41.70480513572693","0.899723","0.8826425","0.894495","heterophilous_graphs","minesweeper","3","True","10000","39402","0.682782599868027","{'low': [0.114730104804039, 0.7073537707328796, 0.17791619896888733], 'high': [0.10376232862472534, 0.8962376713752747]}","0.48029252886772156","0.09803196787834167","0.4348890781402588","0.48483312129974365","0.531851053237915","0.39450469613075256","0.15921345353126526","0.7819181680679321","64.0","1.71223783493042","0.7857104539871216"
"minesweeper","harp","4","0.88100825","0.881328","0.876601","roc_auc","0.88100825","0.881328","0.876601","0.321269154548645","0.3187783658504486","0.32504549622535706","249","58.51287794113159","0.88100825","0.881328","0.876601","heterophilous_graphs","minesweeper","4","True","10000","39402","0.682782599868027","{'low': [0.071299247443676, 0.8817579746246338, 0.025342516601085663, 0.02160019800066948], 'high': [0.8829250931739807, 0.04690016061067581, 0.0701746791601181]}","0.41869568824768066","0.06871171295642853","0.3585140109062195","0.45092320442199707","0.477559894323349","0.0","0.25331825017929077","0.4848457872867584","64.0","",""
"minesweeper","harp_esep","4","0.89478775","0.890552","0.892046","roc_auc","0.89478775","0.890552","0.892046","0.3366597294807434","0.33738458156585693","0.3369254469871521","153","41.144864320755005","0.89478775","0.890552","0.892046","heterophilous_graphs","minesweeper","4","True","10000","39402","0.682782599868027","{'low': [0.11633355170488358, 0.7193889021873474, 0.16427743434906006], 'high': [0.10417696833610535, 0.895823061466217]}","0.49368035793304443","0.13218288123607635","0.43930935859680176","0.4791080355644226","0.5562757253646851","0.39410001039505005","0.14580050110816956","0.8752890229225159","64.0","1.883576512336731","0.7557162642478943"
