dataset,model,seed,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_source,meta_split_id,meta_make_undirected,meta_num_nodes,meta_num_edges,meta_edge_homophily,filter_weights,diag_gate_mean,diag_gate_std,diag_gate_q25,diag_gate_median,diag_gate_q75,diag_gate_gt_0_5,diag_gate_min,diag_gate_max,diag_gate_features,diag_ego_norm,diag_residual_norm
chameleon,mlp,0,0.9340659379959106,0.5390946269035339,0.4868420958518982,0.240662544965744,1.3783971071243286,1.4597076177597046,90,8.123575687408447,geom_gcn,chameleon,0,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,gcn,0,0.761904776096344,0.6474622488021851,0.6315789222717285,0.723761260509491,1.0989598035812378,1.093206524848938,142,16.919419527053833,geom_gcn,chameleon,0,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,sgc,0,0.6364468932151794,0.5692729949951172,0.530701756477356,1.0516823530197144,1.168262243270874,1.1685584783554075,226,109.0561068058014,geom_gcn,chameleon,0,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,appnp,0,0.8131868243217468,0.5692729949951172,0.5526315569877625,0.7016212940216064,1.2341349124908447,1.196719527244568,95,20.79551148414612,geom_gcn,chameleon,0,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,mixhop,0,0.9395604133605956,0.5857338905334473,0.5723684430122375,0.2925445139408111,1.1421387195587158,1.1706702709197998,18,43.53180885314941,geom_gcn,chameleon,0,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,gprgnn,0,0.9734432101249696,0.6570644974708557,0.6425438523292542,0.1179732307791709,1.1655672788619995,1.158475399017334,221,33.55617713928223,geom_gcn,chameleon,0,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,h2gcn,0,0.9935897588729858,0.6652949452400208,0.6513158082962036,0.0750572308897972,1.0242128372192385,1.0969489812850952,169,30.23772764205933,geom_gcn,chameleon,0,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,linkx,0,1.0,0.6282578706741333,0.5921052694320679,0.010043429210782,1.357050538063049,1.311004877090454,162,18.287649631500244,geom_gcn,chameleon,0,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,harp,0,0.982600748538971,0.5953360795974731,0.5482456088066101,0.0642395466566085,1.6061681509017944,1.71348774433136,30,23.016478538513184,geom_gcn,chameleon,0,True,2277,31371,0.2299257275827994,"{'low': [0.32374054193496704, 0.23508912324905396, 0.2229299545288086, 0.2182403802871704], 'high': [0.4535214304924011, 0.2591312825679779, 0.28734731674194336]}",0.4717015027999878,0.1806112974882125,0.3376090824604034,0.4477965831756592,0.5846980810165405,0.3904465734958648,0.1276620477437973,0.999278962612152,64.0,,
chameleon,mlp,1,0.9368131756782532,0.5006858706474304,0.5350877046585083,0.2642875611782074,1.5142006874084473,1.3053394556045532,50,6.955643177032471,geom_gcn,chameleon,1,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,gcn,1,0.7820512652397156,0.6008230447769165,0.6688596606254578,0.7015296220779419,1.2080494165420532,1.0684280395507812,150,17.895222187042236,geom_gcn,chameleon,1,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,sgc,1,0.6309523582458496,0.5116598010063171,0.5570175647735596,1.0658624172210691,1.2214075326919556,1.1647346019744873,123,80.16008591651917,geom_gcn,chameleon,1,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,appnp,1,0.7902930378913879,0.5075445771217346,0.5394737124443054,0.7111625671386719,1.3619191646575928,1.210439682006836,101,21.835615873336792,geom_gcn,chameleon,1,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,mixhop,1,0.9743589758872986,0.5418381094932556,0.5635964870452881,0.1657167375087738,1.3873651027679443,1.256076693534851,24,46.98391270637512,geom_gcn,chameleon,1,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,gprgnn,1,0.9789377450942992,0.6076817512512207,0.6293859481811523,0.118860125541687,1.4250576496124268,1.1697108745574951,212,33.86941385269165,geom_gcn,chameleon,1,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,h2gcn,1,0.9899267554283142,0.6351165771484375,0.6513158082962036,0.0686558783054351,1.1935336589813232,1.135989546775818,217,33.41314888000488,geom_gcn,chameleon,1,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,linkx,1,1.0,0.5953360795974731,0.5964912176132202,0.0101867457851767,1.593969225883484,1.3273478746414185,160,18.13755750656128,geom_gcn,chameleon,1,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,harp,1,0.9221611618995668,0.5377228856086731,0.5592105388641357,0.3446439206600189,1.2072516679763794,1.1011730432510376,15,19.09303045272827,geom_gcn,chameleon,1,True,2277,31371,0.2299257275827994,"{'low': [0.28898265957832336, 0.2451462745666504, 0.23410743474960327, 0.23176372051239014], 'high': [0.3910942077636719, 0.30394014716148376, 0.30496564507484436]}",0.3578519821166992,0.1906638592481613,0.2280241549015045,0.2789483070373535,0.4131079614162445,0.1811868697404861,0.1048872917890548,0.9991076588630676,64.0,,
chameleon,mlp,2,0.906593382358551,0.4993141293525696,0.5087719559669495,0.3395522534847259,1.3953354358673096,1.334162354469299,29,5.717771291732788,geom_gcn,chameleon,2,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,gcn,2,0.7811355590820312,0.63923180103302,0.5964912176132202,0.7417443990707397,1.0954983234405518,1.150548219680786,105,14.009685277938845,geom_gcn,chameleon,2,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,sgc,2,0.6355311274528503,0.5390946269035339,0.4824561476707458,1.0363517999649048,1.1909795999526978,1.208627223968506,175,102.89886236190796,geom_gcn,chameleon,2,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,appnp,2,0.8580586314201355,0.562414288520813,0.5263158082962036,0.6240699887275696,1.1826213598251345,1.2339756488800049,162,30.04179716110229,geom_gcn,chameleon,2,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,mixhop,2,0.92948716878891,0.5747599601745605,0.5570175647735596,0.3681406080722809,1.1549313068389893,1.138508439064026,15,41.976691007614136,geom_gcn,chameleon,2,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,gprgnn,2,0.9807692170143129,0.6447187662124634,0.6030701994895935,0.1052795723080635,1.2082291841506958,1.3558220863342283,240,33.83918309211731,geom_gcn,chameleon,2,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,h2gcn,2,0.9890109896659852,0.6611797213554382,0.6118420958518982,0.0752453505992889,1.0042487382888794,1.1459546089172363,156,28.64105224609375,geom_gcn,chameleon,2,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,linkx,2,0.9990842342376708,0.6351165771484375,0.6140350699424744,0.0112693235278129,1.353357434272766,1.3052300214767456,151,17.38819646835327,geom_gcn,chameleon,2,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,harp,2,0.906593382358551,0.5775034427642822,0.5570175647735596,0.3655670881271362,1.1594568490982056,1.207119107246399,15,19.058930158615112,geom_gcn,chameleon,2,True,2277,31371,0.2299257275827994,"{'low': [0.30042558908462524, 0.24486663937568665, 0.22801940143108368, 0.22668832540512085], 'high': [0.38952985405921936, 0.30475664138793945, 0.3057135045528412]}",0.3845928609371185,0.2162630259990692,0.2273094803094864,0.2974486351013183,0.4689912796020508,0.2267512083053589,0.0509958788752555,0.9999547004699708,64.0,,
chameleon,mlp,3,0.9331501722335817,0.5102880597114563,0.5197368264198303,0.2556755840778351,1.5057439804077148,1.2544838190078735,58,7.577844858169556,geom_gcn,chameleon,3,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,gcn,3,0.7646520137786865,0.6584362387657166,0.6162280440330505,0.7079070806503296,1.1389189958572388,1.177979588508606,152,18.072206497192383,geom_gcn,chameleon,3,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,sgc,3,0.6309523582458496,0.554183840751648,0.5131579041481018,1.0583971738815308,1.1947519779205322,1.2145016193389893,137,85.9542977809906,geom_gcn,chameleon,3,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,appnp,3,0.843406617641449,0.5363511443138123,0.5592105388641357,0.6429663300514221,1.2886651754379272,1.2598422765731812,144,27.49641513824463,geom_gcn,chameleon,3,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,mixhop,3,0.8946886658668518,0.5788751840591431,0.5833333134651184,0.66214519739151,1.174958109855652,1.1071982383728027,10,39.0657205581665,geom_gcn,chameleon,3,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,gprgnn,3,0.9743589758872986,0.6268861293792725,0.6228070259094238,0.1341804265975952,1.323660135269165,1.1838445663452148,182,32.69151210784912,geom_gcn,chameleon,3,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,h2gcn,3,0.9917582273483276,0.6611797213554382,0.6688596606254578,0.0669368356466293,1.1420398950576782,1.1732803583145142,223,33.01419806480408,geom_gcn,chameleon,3,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,linkx,3,1.0,0.6323730945587158,0.6600877046585083,0.0122949481010437,1.2629027366638184,1.2493233680725098,214,20.597862243652344,geom_gcn,chameleon,3,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,harp,3,0.8141025900840759,0.5733882188796997,0.6206140518188477,0.6415628790855408,1.1004798412322998,1.0197124481201172,11,18.023849725723267,geom_gcn,chameleon,3,True,2277,31371,0.2299257275827994,"{'low': [0.28534644842147827, 0.2485295534133911, 0.23340973258018494, 0.2327142208814621], 'high': [0.37101659178733826, 0.3146274983882904, 0.3143559694290161]}",0.2550533711910248,0.1316284090280532,0.1933366954326629,0.2103184312582016,0.2634747922420501,0.0623009987175464,0.0161001775413751,0.9918184280395508,64.0,,
chameleon,mlp,4,0.9139193892478944,0.5102880597114563,0.5175438523292542,0.3058374226093292,1.498660445213318,1.4000017642974854,35,5.907571792602539,geom_gcn,chameleon,4,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,gcn,4,0.7811355590820312,0.6556927561759949,0.6469298005104065,0.7206323146820068,1.128623366355896,1.099368453025818,147,17.347826719284058,geom_gcn,chameleon,4,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,sgc,4,0.622710645198822,0.5144032835960388,0.5263158082962036,1.051478385925293,1.2122050523757937,1.2013996839523315,138,86.4437005519867,geom_gcn,chameleon,4,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,appnp,4,0.8067765831947327,0.5294924378395081,0.5438596606254578,0.6648695468902588,1.2696489095687866,1.2637463808059692,124,24.589253187179565,geom_gcn,chameleon,4,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,mixhop,4,0.9340659379959106,0.570644736289978,0.5921052694320679,0.380729615688324,1.1786901950836182,1.1502164602279663,15,41.87300181388855,geom_gcn,chameleon,4,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,gprgnn,4,0.9807692170143129,0.5994513034820557,0.6206140518188477,0.1256531029939651,1.3981512784957886,1.3474808931350708,234,33.41864228248596,geom_gcn,chameleon,4,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,h2gcn,4,0.9926739931106568,0.6447187662124634,0.6535087823867798,0.0566688813269138,1.2014676332473757,1.2233898639678955,229,32.937238931655884,geom_gcn,chameleon,4,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,linkx,4,1.0,0.6255143880844116,0.6228070259094238,0.0104719772934913,1.3673468828201294,1.3764116764068604,223,20.043853282928467,geom_gcn,chameleon,4,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,harp,4,0.9789377450942992,0.5665295124053955,0.5701754093170166,0.069500096142292,1.7345691919326782,1.7010260820388794,25,21.426496982574463,geom_gcn,chameleon,4,True,2277,31371,0.2299257275827994,"{'low': [0.31203123927116394, 0.23365919291973114, 0.23004230856895447, 0.22426725924015045], 'high': [0.4300221800804138, 0.26754340529441833, 0.30243438482284546]}",0.4172634780406952,0.1484697759151458,0.3007181882858276,0.3970924615859985,0.5005146861076355,0.2509126663208008,0.0807776749134063,0.9989758729934692,64.0,,
chameleon,mlp,5,0.935897409915924,0.5294924378395081,0.469298243522644,0.2433565557003021,1.4747307300567627,1.487261414527893,98,10.09533667564392,geom_gcn,chameleon,5,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,gcn,5,0.7847985625267029,0.6351165771484375,0.6271929740905762,0.6853165626525879,1.1125314235687256,1.137576460838318,167,19.27827262878418,geom_gcn,chameleon,5,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,sgc,5,0.6336996555328369,0.5720164775848389,0.5438596606254578,1.1176211833953855,1.2324187755584717,1.2295334339141846,65,54.668269634246826,geom_gcn,chameleon,5,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,appnp,5,0.8131868243217468,0.5528120994567871,0.5482456088066101,0.7578973770141602,1.2658655643463137,1.2272604703903198,68,17.281258583068848,geom_gcn,chameleon,5,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,mixhop,5,0.8562270998954773,0.5925925970077515,0.5526315569877625,0.8223222494125366,1.1970077753067017,1.1938120126724243,8,37.943461418151855,geom_gcn,chameleon,5,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,gprgnn,5,0.9771062135696412,0.6241426467895508,0.6162280440330505,0.1202663779258728,1.3649693727493286,1.343313217163086,213,33.81904935836792,geom_gcn,chameleon,5,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,h2gcn,5,0.9908424615859984,0.672153651714325,0.6732456088066101,0.0598418489098548,1.1005053520202637,1.089028239250183,250,33.09814977645874,geom_gcn,chameleon,5,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,linkx,5,1.0,0.6255143880844116,0.6140350699424744,0.0113389110192656,1.4108344316482544,1.4476289749145508,119,14.75621223449707,geom_gcn,chameleon,5,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,harp,5,0.8278388381004333,0.5637860298156738,0.5657894611358643,0.5755096077919006,1.1025996208190918,1.1265164613723757,11,17.901775598526,geom_gcn,chameleon,5,True,2277,31371,0.2299257275827994,"{'low': [0.27512577176094055, 0.25145912170410156, 0.236546590924263, 0.23686851561069489], 'high': [0.37083321809768677, 0.31490516662597656, 0.31426161527633667]}",0.2779196798801422,0.1260710656642913,0.2063617259263992,0.2300094813108444,0.2962639033794403,0.0683739557862281,0.0230736304074525,0.9974787831306458,64.0,,
chameleon,mlp,6,0.8956043720245361,0.513031542301178,0.469298243522644,0.4745813310146332,1.310113787651062,1.4253238439559937,23,5.3089892864227295,geom_gcn,chameleon,6,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,gcn,6,0.7655677795410156,0.6447187662124634,0.609649121761322,0.7210057377815247,1.1814208030700684,1.22102689743042,117,15.109538078308104,geom_gcn,chameleon,6,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,sgc,6,0.6657509207725525,0.5432098507881165,0.5241228342056274,1.0212113857269287,1.2177778482437134,1.2175129652023315,146,90.03285717964172,geom_gcn,chameleon,6,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,appnp,6,0.8534798622131348,0.5651577711105347,0.5241228342056274,0.5616306066513062,1.2694872617721558,1.3116644620895386,219,33.748353719711304,geom_gcn,chameleon,6,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,mixhop,6,0.9239926934242249,0.5925925970077515,0.5635964870452881,0.4704154431819916,1.174687147140503,1.228660225868225,13,40.71511459350586,geom_gcn,chameleon,6,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,gprgnn,6,0.9752747416496276,0.6282578706741333,0.6074561476707458,0.1352291256189346,1.3636802434921265,1.4310123920440674,179,32.29940986633301,geom_gcn,chameleon,6,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
chameleon,h2gcn,6,0.9926739931106568,0.6639232039451599,0.6535087823867798,0.0577038824558258,1.1676914691925049,1.116650104522705,248,33.4948456287384,geom_gcn,chameleon,6,True,2277,31371,0.2299257275827994,,,,,,,,,,,,
