dataset,model,seed,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_source,meta_split_id,meta_make_undirected,meta_num_nodes,meta_num_edges,meta_edge_homophily,filter_weights,diag_gate_mean,diag_gate_std,diag_gate_q25,diag_gate_median,diag_gate_q75,diag_gate_gt_0_5,diag_gate_min,diag_gate_max,diag_gate_features,selector_z,selector_val_size,selector_val_diff,selector_standard_error,selector_threshold,selector_selected_model,selector_oracle_regret,diag_ego_norm,diag_residual_norm
actor,harp_select,0,0.4969846606254577,0.3811677694320678,0.3631578981876373,1.1792126893997192,1.4111130237579346,1.4246494770050049,17,24.65358543395996,geom_gcn,actor,0,True,7600,26659,0.2167373119771934,"{'low': [0.30223745107650757, 0.23223672807216644, 0.2327553629875183, 0.2327703833580017], 'high': [0.40169230103492737, 0.2989494502544403, 0.29935815930366516]}",0.2325775027275085,0.043493028730154,0.2064768970012664,0.2158631980419159,0.2443295121192932,0.0005777138285338,0.1490062475204467,0.6800437569618225,64.0,1.96,2432,-0.004934221506118719,0.013909966110801262,0.02726353357717047,harp,0.005921036005020142,,
actor,harp_select,1,0.5290570259094238,0.3634868562221527,0.3447368443012237,1.1596479415893557,1.436477780342102,1.4453481435775757,13,23.59599542617798,geom_gcn,actor,1,True,7600,26659,0.2167373119771934,"{'low': [0.2891561686992645, 0.23946790397167206, 0.23570692539215088, 0.23566898703575134], 'high': [0.38052910566329956, 0.31011977791786194, 0.3093510866165161]}",0.1995446681976318,0.0081079192459583,0.1951728612184524,0.2005578726530075,0.2032858431339264,0.0,0.1206304654479026,0.2596505880355835,64.0,1.96,2432,0.004523009061813299,0.013811804369145654,0.027071136563525482,harp,0.0013157725334168036,,
actor,harp_select,2,0.5444079041481018,0.3692434132099151,0.3361842036247253,1.1042152643203735,1.4363908767700195,1.4736809730529783,19,25.606618404388428,geom_gcn,actor,2,True,7600,26659,0.2167373119771934,"{'low': [0.3270459771156311, 0.22278183698654175, 0.22505642473697662, 0.2251157909631729], 'high': [0.4092993438243866, 0.29497718811035156, 0.29572349786758423]}",0.2640362083911896,0.092104859650135,0.2120043039321899,0.2282265275716781,0.2776010632514953,0.0361245870590209,0.1342097520828247,0.9782037734985352,64.0,1.96,2432,0.008223682641983088,0.013870411794904051,0.02718600711801194,harp,0.03421053290367132,,
actor,harp_select,3,0.8270285129547119,0.3585526347160339,0.3296052515506744,0.5344223976135254,1.953433632850647,1.965309500694275,37,31.3753354549408,geom_gcn,actor,3,True,7600,26659,0.2167373119771934,"{'low': [0.32272544503211975, 0.2369244247674942, 0.2193222939968109, 0.2210279256105423], 'high': [0.5125718116760254, 0.241596058011055, 0.24583207070827484]}",0.3378995954990387,0.1504147052764892,0.2351149022579193,0.2900604009628296,0.3945851624011993,0.1118441596627235,0.1138483807444572,0.993504762649536,64.0,1.96,2432,0.01644736528396612,0.013818127319611018,0.027083529546437595,harp,0.01907896995544439,,
actor,harp_select,4,0.6069079041481018,0.3589638173580169,0.3355263173580169,1.009688138961792,1.5024127960205078,1.5179351568222046,19,25.482301473617557,geom_gcn,actor,4,True,7600,26659,0.2167373119771934,"{'low': [0.31230103969573975, 0.2311401069164276, 0.22803452610969543, 0.22852438688278198], 'high': [0.41867467761039734, 0.28725406527519226, 0.294071227312088]}",0.2591365575790405,0.0796515047550201,0.2077577710151672,0.2239788770675659,0.2896211743354797,0.0195476971566677,0.1178477182984352,0.9101276397705078,64.0,1.96,2432,0.013569086790084894,0.013810586237105387,0.027068749024726557,harp,0.015131562948226984,,
actor,harp_select,5,0.4709429740905761,0.3622532784938812,0.3638157844543457,1.257174730300903,1.422460913658142,1.4122116565704346,15,24.3175311088562,geom_gcn,actor,5,True,7600,26659,0.2167373119771934,"{'low': [0.2996346950531006, 0.22920213639736176, 0.2355198711156845, 0.23564334213733673], 'high': [0.39859482645988464, 0.3038654327392578, 0.29753977060317993]}",0.2143775224685669,0.0321659557521343,0.2001460790634155,0.2052663415670395,0.2216548323631286,0.0002384868421358,0.0448483936488628,0.6047648787498474,64.0,1.96,2432,0.023026317358016968,0.013870065943272534,0.027185329248814165,harp,0.0,,
actor,harp_select,6,0.5109649300575256,0.3696545958518982,0.355921059846878,1.184430480003357,1.4377888441085815,1.4261045455932615,21,26.077561140060425,geom_gcn,actor,6,True,7600,26659,0.2167373119771934,"{'low': [0.31836599111557007, 0.22794228792190552, 0.22691112756729126, 0.22678056359291077], 'high': [0.4327128231525421, 0.28311997652053833, 0.28416723012924194]}",0.2650139927864074,0.092943899333477,0.2071313858032226,0.2194753140211105,0.2956710755825043,0.034033715724945,0.1164702698588371,0.9462981820106506,64.0,1.96,2432,0.0016447603702545166,0.013849018762573637,0.027144076774644327,harp,0.0,,
actor,harp_select,7,0.5951206088066101,0.3569079041481018,0.3585526347160339,0.9876663088798524,1.5130650997161863,1.4955754280090332,23,26.774998426437374,geom_gcn,actor,7,True,7600,26659,0.2167373119771934,"{'low': [0.3219532370567322, 0.22817681729793549, 0.224653422832489, 0.22521653771400452], 'high': [0.43055471777915955, 0.28399142622947693, 0.28545379638671875]}",0.2838694453239441,0.1125930473208427,0.215247243642807,0.2338058054447174,0.3198872208595276,0.0627467110753059,0.0455101542174816,0.9671517610549928,64.0,1.96,2432,0.00699013471603388,0.013767944455251696,0.026985171132293324,harp,0.0019736886024475098,,
actor,harp_select,8,0.5433114171028137,0.3655427694320678,0.3513157963752746,1.1479865312576294,1.4171092510223389,1.426683783531189,19,25.53194999694824,geom_gcn,actor,8,True,7600,26659,0.2167373119771934,"{'low': [0.3076537251472473, 0.2292986363172531, 0.23150676488876343, 0.23154091835021973], 'high': [0.4106392562389374, 0.29470720887184143, 0.2946535348892212]}",0.2713083922863006,0.1041016429662704,0.2043963819742202,0.2225817739963531,0.3120372295379638,0.0498437508940696,0.027238143607974,0.8799144625663757,64.0,1.96,2432,-0.0024671256542205255,0.013800341067443801,0.02704866849218985,harp,0.0,,
actor,harp_select,9,0.609649121761322,0.3569079041481018,0.3690789341926574,1.0185965299606323,1.4852285385131836,1.5255976915359497,22,26.496536016464237,geom_gcn,actor,9,True,7600,26659,0.2167373119771934,"{'low': [0.32955870032310486, 0.224925696849823, 0.22241245210170746, 0.2231031209230423], 'high': [0.4261917173862457, 0.2867380976676941, 0.2870701849460602]}",0.2763853669166565,0.0927103385329246,0.2132764011621475,0.2429234981536865,0.3060835599899292,0.0371381565928459,0.1575678288936615,0.9586731791496276,64.0,1.96,2432,0.006578952074050903,0.013766270482366231,0.026981890145437813,harp,0.0,,
