z,dataset,splits,esep_selections,mean_test_acc,std_test_acc,mean_oracle_regret,oracle_match_rate
0.0,actor,10,8,0.3559210509061813,0.010082950208531356,0.0026315778493881227,0.7
0.0,amazon-ratings,10,6,0.4607872009277344,0.004031609138999967,0.0009962439537048284,0.9
0.0,chameleon,10,10,0.6342105209827423,0.022430934323789974,0.0,1.0
0.0,cornell,10,1,0.7405405402183532,0.05128017353725819,0.0162162184715271,0.7
0.0,roman-empire,10,10,0.7851041316986084,0.005660077852895394,0.0,1.0
0.0,squirrel,10,10,0.4648414939641953,0.011012908256820981,0.0,1.0
0.0,texas,10,1,0.8648648619651794,0.04593711262976212,0.0,1.0
0.0,wisconsin,10,2,0.8607843220233917,0.057315450880186934,0.013725489377975464,0.8
0.5,actor,10,5,0.35736842155456544,0.008643798466022777,0.0011842072010040338,0.7
0.5,amazon-ratings,10,5,0.4597746253013611,0.003999583656898945,0.0020088195800781194,0.8
0.5,chameleon,10,10,0.6342105209827423,0.022430934323789974,0.0,1.0
0.5,cornell,10,0,0.7486486494541168,0.04602536640184217,0.00810810923576355,0.8
0.5,roman-empire,10,10,0.7851041316986084,0.005660077852895394,0.0,1.0
0.5,squirrel,10,10,0.4648414939641953,0.011012908256820981,0.0,1.0
0.5,texas,10,1,0.8648648619651794,0.04593711262976212,0.0,1.0
0.5,wisconsin,10,0,0.8745098114013672,0.03228519816775265,0.0,1.0
1.0,actor,10,2,0.35223684310913084,0.011113898558535111,0.006315785646438615,0.4
1.0,amazon-ratings,10,2,0.4557079881429672,0.00740980206361885,0.006075456738471985,0.5
1.0,chameleon,10,10,0.6342105209827423,0.022430934323789974,0.0,1.0
1.0,cornell,10,0,0.7486486494541168,0.04602536640184217,0.00810810923576355,0.8
1.0,roman-empire,10,10,0.7851041316986084,0.005660077852895394,0.0,1.0
1.0,squirrel,10,10,0.4648414939641953,0.011012908256820981,0.0,1.0
1.0,texas,10,0,0.8648648619651794,0.04593711262976212,0.0,1.0
1.0,wisconsin,10,0,0.8745098114013672,0.03228519816775265,0.0,1.0
1.645,actor,10,1,0.35032894611358645,0.013228066866759789,0.008223682641983055,0.3
1.645,amazon-ratings,10,0,0.45431978106498716,0.007138767507503245,0.007463663816452032,0.3
1.645,chameleon,10,10,0.6342105209827423,0.022430934323789974,0.0,1.0
1.645,cornell,10,0,0.7486486494541168,0.04602536640184217,0.00810810923576355,0.8
1.645,roman-empire,10,10,0.7851041316986084,0.005660077852895394,0.0,1.0
1.645,squirrel,10,10,0.4648414939641953,0.011012908256820981,0.0,1.0
1.645,texas,10,0,0.8648648619651794,0.04593711262976212,0.0,1.0
1.645,wisconsin,10,0,0.8745098114013672,0.03228519816775265,0.0,1.0
1.96,actor,10,0,0.35078947246074677,0.013645216371364885,0.007763156294822715,0.4
1.96,amazon-ratings,10,0,0.45431978106498716,0.007138767507503245,0.007463663816452032,0.3
1.96,chameleon,10,10,0.6342105209827423,0.022430934323789974,0.0,1.0
1.96,cornell,10,0,0.7486486494541168,0.04602536640184217,0.00810810923576355,0.8
1.96,roman-empire,10,10,0.7851041316986084,0.005660077852895394,0.0,1.0
1.96,squirrel,10,10,0.4648414939641953,0.011012908256820981,0.0,1.0
1.96,texas,10,0,0.8648648619651794,0.04593711262976212,0.0,1.0
1.96,wisconsin,10,0,0.8745098114013672,0.03228519816775265,0.0,1.0
2.58,actor,10,0,0.35078947246074677,0.013645216371364885,0.007763156294822715,0.4
2.58,amazon-ratings,10,0,0.45431978106498716,0.007138767507503245,0.007463663816452032,0.3
2.58,chameleon,10,6,0.6059210479259491,0.044895783607059564,0.02828947305679321,0.6
2.58,cornell,10,0,0.7486486494541168,0.04602536640184217,0.00810810923576355,0.8
2.58,roman-empire,10,10,0.7851041316986084,0.005660077852895394,0.0,1.0
2.58,squirrel,10,10,0.4648414939641953,0.011012908256820981,0.0,1.0
2.58,texas,10,0,0.8648648619651794,0.04593711262976212,0.0,1.0
2.58,wisconsin,10,0,0.8745098114013672,0.03228519816775265,0.0,1.0
