dataset,model,seed,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_source,meta_num_nodes,meta_num_edges,meta_edge_homophily,filter_weights,diag_gate_mean,diag_gate_std,diag_gate_q25,diag_gate_median,diag_gate_q75,diag_gate_gt_0_5,diag_gate_min,diag_gate_max,diag_gate_features
pubmed,mlp,0,1.0,0.7260000109672546,0.7260000109672546,0.04080786183476448,0.6666210293769836,0.6860145926475525,103,12.714277982711792,planetoid,pubmed,19717,44324,0.8023869686851367,,,,,,,,,,
pubmed,gcn,0,0.3333333432674408,0.3919999897480011,0.41100001335144043,1.0986840724945068,1.098515510559082,1.0984517335891724,1,8.626840591430664,planetoid,pubmed,19717,44324,0.8023869686851367,,,,,,,,,,
pubmed,sgc,0,0.949999988079071,0.7900000214576721,0.7749999761581421,0.7802334427833557,0.9118040204048157,0.9146493077278137,355,34.70567178726196,planetoid,pubmed,19717,44324,0.8023869686851367,,,,,,,,,,
pubmed,appnp,0,0.3333333432674408,0.3880000114440918,0.4129999876022339,1.1020158529281616,1.099881887435913,1.0960876941680908,5,14.82714033126831,planetoid,pubmed,19717,44324,0.8023869686851367,,,,,,,,,,
pubmed,harp,0,0.9833333492279053,0.6779999732971191,0.6159999966621399,0.053062427788972855,1.0148288011550903,1.193128228187561,37,37.90007758140564,planetoid,pubmed,19717,44324,0.8023869686851367,"{'low': [0.40550103783607483, 0.19388322532176971, 0.2000778168439865, 0.20053796470165253], 'high': [0.3997967541217804, 0.33653396368026733, 0.26366937160491943]}",0.20715060830116272,0.041377559304237366,0.17622078955173492,0.21239475905895233,0.24118158221244812,0.0,0.10063823312520981,0.3209996819496155,64.0
pubmed,mlp,1,1.0,0.734000027179718,0.7289999723434448,0.04950873553752899,0.673610508441925,0.6941280364990234,91,12.344183683395386,planetoid,pubmed,19717,44324,0.8023869686851367,,,,,,,,,,
pubmed,gcn,1,0.3333333432674408,0.3880000114440918,0.4129999876022339,1.1095023155212402,1.087369441986084,1.0827997922897339,14,9.64052963256836,planetoid,pubmed,19717,44324,0.8023869686851367,,,,,,,,,,
pubmed,sgc,1,0.949999988079071,0.7900000214576721,0.7749999761581421,0.7803599238395691,0.9118858575820923,0.9147124290466309,354,35.36167764663696,planetoid,pubmed,19717,44324,0.8023869686851367,,,,,,,,,,
pubmed,appnp,1,0.3333333432674408,0.3880000114440918,0.4129999876022339,1.099746584892273,1.104691982269287,1.1014941930770874,6,15.08663034439087,planetoid,pubmed,19717,44324,0.8023869686851367,,,,,,,,,,
pubmed,harp,1,0.8666666746139526,0.6639999747276306,0.6340000033378601,0.3481583595275879,0.7724758386611938,0.8245193958282471,13,31.382657766342163,planetoid,pubmed,19717,44324,0.8023869686851367,"{'low': [0.29795050621032715, 0.23822499811649323, 0.23193317651748657, 0.23189128935337067], 'high': [0.375379741191864, 0.3165183961391449, 0.30810192227363586]}",0.19262968003749847,0.010340015403926373,0.1843823492527008,0.19578926265239716,0.2017097771167755,0.0,0.15585991740226746,0.21295784413814545,64.0
