config,output,status,expected,observed,missing,extra,duplicate_rows
configs\ablation_synthetic.yaml,results\ablation_synthetic.csv,complete,24,24,0,0,0
configs\actor_smoke.yaml,results\actor_smoke.csv,complete,3,3,0,0,0
configs\cora.yaml,results\cora.csv,complete,15,15,0,0,0
configs\critical_heterophily_baselines.yaml,results\critical_heterophily_baselines.csv,complete,160,160,0,0,0
configs\critical_heterophily_binary_harp.yaml,results\critical_heterophily_binary_harp.csv,complete,40,40,0,0,0
configs\critical_heterophily_binary_smoke.yaml,results\critical_heterophily_binary_smoke.csv,complete,6,6,0,0,0
configs\critical_heterophily_fagcn_style_smoke.yaml,results\critical_heterophily_fagcn_style_smoke.csv,complete,2,2,0,0,0
configs\critical_heterophily_harp.yaml,results\critical_heterophily_harp.csv,complete,40,40,0,0,0
configs\critical_heterophily_smoke.yaml,results\critical_heterophily_smoke.csv,complete,4,4,0,0,0
configs\geom_gcn_harp_esep.yaml,results\geom_gcn_harp_esep.csv,complete,30,30,0,0,0
configs\geom_gcn_large.yaml,results\geom_gcn_large.csv,complete,270,270,0,0,0
configs\geom_gcn_smoke.yaml,results\geom_gcn_smoke.csv,complete,12,12,0,0,0
configs\harp_x_diagnostic.yaml,results\harp_x_diagnostic.csv,complete,96,96,0,0,0
configs\planetoid_all.yaml,results\planetoid_all.csv,complete,75,75,0,0,0
configs\planetoid_projected_smoke.yaml,results\planetoid_projected_smoke.csv,complete,3,3,0,0,0
configs\planetoid_smoke.yaml,results\planetoid_smoke.csv,complete,9,9,0,0,0
configs\smoke.yaml,results\smoke.csv,complete,3,3,0,0,0
configs\synthetic_sweep.yaml,results\synthetic_sweep.csv,complete,45,45,0,0,0
configs\webkb.yaml,results\webkb.csv,complete,270,270,0,0,0
configs\webkb_ablation.yaml,results\webkb_ablation.csv,complete,150,150,0,0,0
configs\webkb_fagcn_style_smoke.yaml,results\webkb_fagcn_style_smoke.csv,complete,3,3,0,0,0
configs\webkb_gate_variants.yaml,results\webkb_gate_variants.csv,complete,120,120,0,0,0
configs\webkb_h2gcn.yaml,results\webkb_h2gcn.csv,complete,30,30,0,0,0
configs\webkb_h2gcn_smoke.yaml,results\webkb_h2gcn_smoke.csv,complete,1,1,0,0,0
configs\webkb_harp_diagnostics.yaml,results\webkb_harp_diagnostics.csv,complete,30,30,0,0,0
configs\webkb_harp_esep.yaml,results\webkb_harp_esep.csv,complete,30,30,0,0,0
configs\webkb_scalar_gate.yaml,results\webkb_scalar_gate.csv,complete,150,150,0,0,0
configs\webkb_smoke.yaml,results\webkb_smoke.csv,complete,6,6,0,0,0
