dataset,branch,order,mean,std,count,basis,weight
synthetic_h020,high,1,0.39793015519777936,0.024247337797263638,3,H1,0.398 $\pm$ 0.024
synthetic_h020,high,2,0.29567810893058777,0.01494168406038609,3,H2,0.296 $\pm$ 0.015
synthetic_h020,high,3,0.30639175573984784,0.010730841256980107,3,H3,0.306 $\pm$ 0.011
synthetic_h020,low,0,0.27983588973681134,0.017908380953268528,3,L0,0.280 $\pm$ 0.018
synthetic_h020,low,1,0.2393432855606079,0.011362608136169067,3,L1,0.239 $\pm$ 0.011
synthetic_h020,low,2,0.24641617635885874,0.011333996492977462,3,L2,0.246 $\pm$ 0.011
synthetic_h020,low,3,0.23440465331077576,0.010684934444509544,3,L3,0.234 $\pm$ 0.011
synthetic_h050,high,1,0.37762566407521564,0.012051688767411695,3,H1,0.378 $\pm$ 0.012
synthetic_h050,high,2,0.3097264568010966,0.008748333426354907,3,H2,0.310 $\pm$ 0.009
synthetic_h050,high,3,0.31264782945315045,0.005893109459727996,3,H3,0.313 $\pm$ 0.006
synthetic_h050,low,0,0.23824913799762726,0.015103283349873875,3,L0,0.238 $\pm$ 0.015
synthetic_h050,low,1,0.2661096006631851,0.021817272688771188,3,L1,0.266 $\pm$ 0.022
synthetic_h050,low,2,0.2549980729818344,0.005474196929114268,3,L2,0.255 $\pm$ 0.005
synthetic_h050,low,3,0.2406431883573532,0.007511874862887953,3,L3,0.241 $\pm$ 0.008
synthetic_h080,high,1,0.3352702458699544,0.016843525601390123,3,H1,0.335 $\pm$ 0.017
synthetic_h080,high,2,0.3281334141890208,0.01498936641750476,3,H2,0.328 $\pm$ 0.015
synthetic_h080,high,3,0.3365963300069173,0.0026570301164806384,3,H3,0.337 $\pm$ 0.003
synthetic_h080,low,0,0.2007867991924286,0.010774320137985405,3,L0,0.201 $\pm$ 0.011
synthetic_h080,low,1,0.26469890276590985,0.0024520732053153085,3,L1,0.265 $\pm$ 0.002
synthetic_h080,low,2,0.26872532566388446,0.006120485822257403,3,L2,0.269 $\pm$ 0.006
synthetic_h080,low,3,0.2657889723777771,0.0034018714604490577,3,L3,0.266 $\pm$ 0.003
