dataset,model,seed,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_target_homophily,meta_p_in,meta_p_out,meta_seed,meta_num_nodes,meta_num_edges,meta_edge_homophily,filter_weights
synthetic_h020,mlp,0,0.9333333373069763,0.5333333611488342,0.4722222089767456,0.5135980248451233,1.0687835216522217,1.0398143529891968,10,0.026540517807006836,synthetic,0.2,0.020202020202020204,0.04,0,300,1479,0.21771467207572684,
synthetic_h020,gcn,0,0.8833333253860474,0.4000000059604645,0.38333332538604736,0.48479658365249634,1.3026766777038574,1.23915433883667,35,0.08410429954528809,synthetic,0.2,0.020202020202020204,0.04,0,300,1479,0.21771467207572684,
synthetic_h020,sgc,0,0.5166666507720947,0.4333333373069763,0.39444443583488464,1.0546482801437378,1.0864624977111816,1.0961267948150635,5,0.038823843002319336,synthetic,0.2,0.020202020202020204,0.04,0,300,1479,0.21771467207572684,
synthetic_h020,appnp,0,0.800000011920929,0.44999998807907104,0.4277777671813965,0.9476479887962341,1.079245686531067,1.078479290008545,14,0.1159818172454834,synthetic,0.2,0.020202020202020204,0.04,0,300,1479,0.21771467207572684,
synthetic_h020,harp,0,1.0,0.44999998807907104,0.44999998807907104,0.00028235168429091573,3.0473692417144775,3.1219773292541504,59,0.2952897548675537,synthetic,0.2,0.020202020202020204,0.04,0,300,1479,0.21771467207572684,"{'low': [0.3001672625541687, 0.23158302903175354, 0.2334858626127243, 0.23476377129554749], 'high': [0.42372867465019226, 0.28227052092552185, 0.29400086402893066]}"
synthetic_h020,mlp,1,1.0,0.550000011920929,0.5111111402511597,0.16360734403133392,1.1598339080810547,1.0809457302093506,18,0.02852630615234375,synthetic,0.2,0.020202020202020204,0.04,1,300,1498,0.19893190921228304,
synthetic_h020,gcn,1,0.8333333134651184,0.46666666865348816,0.4055555462837219,0.7965193390846252,1.0877490043640137,1.0810052156448364,14,0.06008481979370117,synthetic,0.2,0.020202020202020204,0.04,1,300,1498,0.19893190921228304,
synthetic_h020,sgc,1,0.9166666865348816,0.4333333373069763,0.42222222685813904,0.6183195114135742,1.184045433998108,1.0916333198547363,66,0.09660577774047852,synthetic,0.2,0.020202020202020204,0.04,1,300,1498,0.19893190921228304,
synthetic_h020,appnp,1,0.8999999761581421,0.46666666865348816,0.43888887763023376,0.7967947125434875,1.0911171436309814,1.0648151636123657,21,0.13318514823913574,synthetic,0.2,0.020202020202020204,0.04,1,300,1498,0.19893190921228304,
synthetic_h020,harp,1,1.0,0.5166666507720947,0.49444442987442017,0.058911409229040146,1.4356482028961182,1.414968490600586,10,0.14203095436096191,synthetic,0.2,0.020202020202020204,0.04,1,300,1498,0.19893190921228304,"{'low': [0.26640117168426514, 0.23406139016151428, 0.25463196635246277, 0.2449055016040802], 'high': [0.3756096065044403, 0.3117856979370117, 0.312604695558548]}"
synthetic_h020,mlp,2,0.9833333492279053,0.550000011920929,0.47777777910232544,0.3718995451927185,0.9399285912513733,1.0320711135864258,12,0.026022911071777344,synthetic,0.2,0.020202020202020204,0.04,2,300,1489,0.2102081934184016,
synthetic_h020,gcn,2,1.0,0.4333333373069763,0.3722222149372101,0.19855456054210663,1.4854360818862915,1.4027612209320068,80,0.14020109176635742,synthetic,0.2,0.020202020202020204,0.04,2,300,1489,0.2102081934184016,
