dataset,model,seed,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_source,meta_split_id,meta_make_undirected,meta_num_nodes,meta_num_edges,meta_edge_homophily,filter_weights
texas,mixhop,0,1.0,0.8813559412956238,0.837837815284729,0.0005360406939871609,0.4267846345901489,0.7660982608795166,121,1.3071649074554443,geom_gcn,texas,0,True,183,279,0.06093189964157706,
texas,harp,0,1.0,0.9322034120559692,0.8918918967247009,0.00029955050558783114,0.3844134211540222,0.6273589134216309,218,4.413114070892334,geom_gcn,texas,0,True,183,279,0.06093189964157706,"{'low': [0.3182179927825928, 0.23578369617462158, 0.2224860042333603, 0.22351229190826416], 'high': [0.4873754680156708, 0.25829771161079407, 0.25432682037353516]}"
texas,harp_low,0,0.9425287246704102,0.6610169410705566,0.5945945978164673,0.17884525656700134,1.1044321060180664,1.1626700162887573,25,1.218031644821167,geom_gcn,texas,0,True,183,279,0.06093189964157706,"{'low': [0.34462428092956543, 0.21189351379871368, 0.2223030924797058, 0.22117909789085388], 'high': [0.3333333432674408, 0.3333333432674408, 0.3333333432674408]}"
texas,harp_high,0,1.0,0.8305084705352783,0.837837815284729,0.001152946031652391,1.0293259620666504,0.7157828211784363,24,1.2583227157592773,geom_gcn,texas,0,True,183,279,0.06093189964157706,"{'low': [0.25, 0.25, 0.25, 0.25], 'high': [0.34350866079330444, 0.2852749824523926, 0.37121638655662537]}"
texas,harp_no_signal,0,1.0,0.9152542352676392,0.8918918967247009,0.00026041269302368164,0.4222206175327301,0.5853568911552429,102,2.9230408668518066,geom_gcn,texas,0,True,183,279,0.06093189964157706,"{'low': [0.30913206934928894, 0.23901835083961487, 0.22528614103794098, 0.22656342387199402], 'high': [0.4690450429916382, 0.26846981048583984, 0.26248520612716675]}"
texas,mixhop,1,1.0,0.9152542352676392,0.8648648858070374,0.00032733005355112255,0.5081378221511841,1.0487501621246338,247,2.1753883361816406,geom_gcn,texas,1,True,183,279,0.06093189964157706,
texas,harp,1,1.0,0.9152542352676392,0.837837815284729,0.00025999240460805595,0.4931517243385315,0.639140784740448,99,2.807272434234619,geom_gcn,texas,1,True,183,279,0.06093189964157706,"{'low': [0.32724231481552124, 0.26916196942329407, 0.19753365218639374, 0.20606203377246857], 'high': [0.5172044038772583, 0.24666590988636017, 0.23612967133522034]}"
texas,harp_low,1,0.7356321811676025,0.5932203531265259,0.5945945978164673,0.7129260897636414,1.1207913160324097,0.9387660622596741,7,1.3393101692199707,geom_gcn,texas,1,True,183,279,0.06093189964157706,"{'low': [0.26477035880088806, 0.2608622908592224, 0.23665186762809753, 0.23771549761295319], 'high': [0.3333333432674408, 0.3333333432674408, 0.3333333432674408]}"
texas,harp_high,1,1.0,0.8644067645072937,0.7837837934494019,0.01067291758954525,0.6287558674812317,0.6793994903564453,13,1.3184890747070312,geom_gcn,texas,1,True,183,279,0.06093189964157706,"{'low': [0.25, 0.25, 0.25, 0.25], 'high': [0.36331695318222046, 0.2911326587200165, 0.34555041790008545]}"
texas,harp_no_signal,1,1.0,0.9322034120559692,0.8108108043670654,0.0018116981955245137,0.4955776333808899,0.6251656413078308,168,5.074272394180298,geom_gcn,texas,1,True,183,279,0.06093189964157706,"{'low': [0.3314203917980194, 0.26443004608154297, 0.19879207015037537, 0.20535752177238464], 'high': [0.5441180467605591, 0.23289231956005096, 0.22298966348171234]}"
texas,mixhop,2,1.0,0.9152542352676392,0.837837815284729,0.00034927434171549976,0.33443665504455566,1.6143863201141357,134,1.7599666118621826,geom_gcn,texas,2,True,183,279,0.06093189964157706,
texas,harp,2,1.0,0.9322034120559692,0.8108108043670654,0.0002244671486550942,0.4525422751903534,0.9543339610099792,115,3.669989824295044,geom_gcn,texas,2,True,183,279,0.06093189964157706,"{'low': [0.3027121126651764, 0.23597697913646698, 0.23233184218406677, 0.22897909581661224], 'high': [0.5393775105476379, 0.23401854932308197, 0.2266039252281189]}"
texas,harp_low,2,1.0,0.7796609997749329,0.6216216087341309,0.00014130029012449086,0.9502127766609192,2.1526315212249756,236,3.7880172729492188,geom_gcn,texas,2,True,183,279,0.06093189964157706,"{'low': [0.5991561412811279, 0.12035024911165237, 0.13729673624038696, 0.14319685101509094], 'high': [0.3333333432674408, 0.3333333432674408, 0.3333333432674408]}"
texas,harp_high,2,1.0,0.9152542352676392,0.8108108043670654,0.0004488757695071399,0.4586869478225708,1.1580699682235718,50,1.7743949890136719,geom_gcn,texas,2,True,183,279,0.06093189964157706,"{'low': [0.25, 0.25, 0.25, 0.25], 'high': [0.3729008734226227, 0.2793397307395935, 0.3477593660354614]}"
texas,harp_no_signal,2,1.0,0.9322034120559692,0.7567567825317383,0.0004104980907868594,0.4992446005344391,1.145431399345398,87,3.152526617050171,geom_gcn,texas,2,True,183,279,0.06093189964157706,"{'low': [0.2965358793735504, 0.24004606902599335, 0.23382669687271118, 0.22959135472774506], 'high': [0.5194985270500183, 0.24353449046611786, 0.23696695268154144]}"
texas,mixhop,3,1.0,0.8813559412956238,0.8648648858070374,0.006227471865713596,0.4846563935279846,0.49958595633506775,15,0.7438077926635742,geom_gcn,texas,3,True,183,279,0.06093189964157706,
texas,harp,3,1.0,0.8983050584793091,0.8918918967247009,0.0030574232805520296,0.3595982491970062,0.3859776556491852,40,1.973740577697754,geom_gcn,texas,3,True,183,279,0.06093189964157706,"{'low': [0.2827458381652832, 0.27956777811050415, 0.218950554728508, 0.21873575448989868], 'high': [0.4819358289241791, 0.25446316599845886, 0.26360100507736206]}"
