dataset,model,parameters
texas,mlp,109381
texas,gcn,109312
texas,sgc,8520
texas,appnp,109381
texas,mixhop,328133
texas,gprgnn,109392
texas,h2gcn,126533
texas,linkx,129413
texas,harp,331852
wisconsin,mlp,109381
wisconsin,gcn,109312
wisconsin,sgc,8520
wisconsin,appnp,109381
wisconsin,mixhop,328133
wisconsin,gprgnn,109392
wisconsin,h2gcn,126533
wisconsin,linkx,133765
wisconsin,harp,331852
cornell,mlp,109381
cornell,gcn,109312
cornell,sgc,8520
cornell,appnp,109381
cornell,mixhop,328133
cornell,gprgnn,109392
cornell,h2gcn,126533
cornell,linkx,129413
cornell,harp,331852
