dataset,model,seed,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_source,meta_split_id,meta_make_undirected,meta_num_nodes,meta_num_edges,meta_edge_homophily,filter_weights
texas,mixhop,0,1.0,0.8813559412956238,0.837837815284729,0.0005360406939871609,0.4267846345901489,0.7660982608795166,121,2.682985782623291,geom_gcn,texas,0,True,183,279,0.06093189964157706,
texas,harp,0,1.0,0.9322034120559692,0.8918918967247009,0.00029955050558783114,0.3844134211540222,0.6273589134216309,218,8.69993257522583,geom_gcn,texas,0,True,183,279,0.06093189964157706,"{'low': [0.3182179927825928, 0.23578369617462158, 0.2224860042333603, 0.22351229190826416], 'high': [0.4873754680156708, 0.25829771161079407, 0.25432682037353516]}"
texas,harp_no_signal,0,1.0,0.9152542352676392,0.8918918967247009,0.00026041269302368164,0.4222206175327301,0.5853568911552429,102,5.497028589248657,geom_gcn,texas,0,True,183,279,0.06093189964157706,"{'low': [0.30913206934928894, 0.23901835083961487, 0.22528614103794098, 0.22656342387199402], 'high': [0.4690450429916382, 0.26846981048583984, 0.26248520612716675]}"
texas,harp_scalar_gate,0,1.0,0.8983050584793091,0.8648648858070374,0.000502087757922709,0.7883511185646057,0.786913275718689,201,7.625735521316528,geom_gcn,texas,0,True,183,279,0.06093189964157706,"{'low': [0.2751362919807434, 0.23992979526519775, 0.24431122839450836, 0.24062278866767883], 'high': [0.3483124077320099, 0.3082514703273773, 0.3434361219406128]}"
texas,harp_scalar_no_signal,0,1.0,0.8983050584793091,0.837837815284729,0.0006721742101944983,0.7785572409629822,0.699981153011322,198,7.836843729019165,geom_gcn,texas,0,True,183,279,0.06093189964157706,"{'low': [0.2761419415473938, 0.23939861357212067, 0.24388323724269867, 0.24057616293430328], 'high': [0.3459008038043976, 0.3119621276855469, 0.3421371281147003]}"
texas,mixhop,1,1.0,0.9152542352676392,0.8648648858070374,0.00032733005355112255,0.5081378221511841,1.0487501621246338,247,3.8014471530914307,geom_gcn,texas,1,True,183,279,0.06093189964157706,
texas,harp,1,1.0,0.9152542352676392,0.837837815284729,0.00025999240460805595,0.4931517243385315,0.639140784740448,99,5.264405965805054,geom_gcn,texas,1,True,183,279,0.06093189964157706,"{'low': [0.32724231481552124, 0.26916196942329407, 0.19753365218639374, 0.20606203377246857], 'high': [0.5172044038772583, 0.24666590988636017, 0.23612967133522034]}"
texas,harp_no_signal,1,1.0,0.9322034120559692,0.8108108043670654,0.0018116981955245137,0.4955776333808899,0.6251656413078308,168,7.755022048950195,geom_gcn,texas,1,True,183,279,0.06093189964157706,"{'low': [0.3314203917980194, 0.26443004608154297, 0.19879207015037537, 0.20535752177238464], 'high': [0.5441180467605591, 0.23289231956005096, 0.22298966348171234]}"
texas,harp_scalar_gate,1,1.0,0.8644067645072937,0.837837815284729,0.001619263319298625,0.8248553276062012,0.514940083026886,25,2.87158465385437,geom_gcn,texas,1,True,183,279,0.06093189964157706,"{'low': [0.2851475775241852, 0.2500116229057312, 0.2334030717611313, 0.23143775761127472], 'high': [0.3817485272884369, 0.29812657833099365, 0.32012489438056946]}"
texas,harp_scalar_no_signal,1,1.0,0.8644067645072937,0.837837815284729,0.0016105748945847154,0.8124229311943054,0.5122401118278503,25,2.8088626861572266,geom_gcn,texas,1,True,183,279,0.06093189964157706,"{'low': [0.28468188643455505, 0.25022560358047485, 0.23358754813671112, 0.23150503635406494], 'high': [0.38106071949005127, 0.2984088659286499, 0.3205304443836212]}"
texas,mixhop,2,1.0,0.9152542352676392,0.837837815284729,0.00034927434171549976,0.33443665504455566,1.6143863201141357,134,3.0906267166137695,geom_gcn,texas,2,True,183,279,0.06093189964157706,
texas,harp,2,1.0,0.9322034120559692,0.8108108043670654,0.0002244671486550942,0.4525422751903534,0.9543339610099792,115,6.110007047653198,geom_gcn,texas,2,True,183,279,0.06093189964157706,"{'low': [0.3027121126651764, 0.23597697913646698, 0.23233184218406677, 0.22897909581661224], 'high': [0.5393775105476379, 0.23401854932308197, 0.2266039252281189]}"
texas,harp_no_signal,2,1.0,0.9322034120559692,0.7567567825317383,0.0004104980907868594,0.4992446005344391,1.145431399345398,87,5.1720499992370605,geom_gcn,texas,2,True,183,279,0.06093189964157706,"{'low': [0.2965358793735504, 0.24004606902599335, 0.23382669687271118, 0.22959135472774506], 'high': [0.5194985270500183, 0.24353449046611786, 0.23696695268154144]}"
texas,harp_scalar_gate,2,1.0,0.8813559412956238,0.7837837934494019,0.006325484719127417,0.3869810998439789,0.9514472484588623,21,2.902402877807617,geom_gcn,texas,2,True,183,279,0.06093189964157706,"{'low': [0.2824150025844574, 0.23395180702209473, 0.24329142272472382, 0.2403416782617569], 'high': [0.3825145363807678, 0.28224143385887146, 0.33524399995803833]}"
texas,harp_scalar_no_signal,2,1.0,0.8813559412956238,0.7837837934494019,0.006394155323505402,0.3827293813228607,0.9460710883140564,21,2.871408462524414,geom_gcn,texas,2,True,183,279,0.06093189964157706,"{'low': [0.2827545702457428, 0.2341039776802063, 0.24307164549827576, 0.24006979167461395], 'high': [0.38263770937919617, 0.2828335762023926, 0.3345286548137665]}"
texas,mixhop,3,1.0,0.8813559412956238,0.8648648858070374,0.006227471865713596,0.4846563935279846,0.49958595633506775,15,1.2823803424835205,geom_gcn,texas,3,True,183,279,0.06093189964157706,
texas,harp,3,1.0,0.8983050584793091,0.8918918967247009,0.0030574232805520296,0.3595982491970062,0.3859776556491852,40,3.4202451705932617,geom_gcn,texas,3,True,183,279,0.06093189964157706,"{'low': [0.2827458381652832, 0.27956777811050415, 0.218950554728508, 0.21873575448989868], 'high': [0.4819358289241791, 0.25446316599845886, 0.26360100507736206]}"
texas,harp_no_signal,3,1.0,0.9152542352676392,0.837837815284729,0.001417039311490953,0.22811943292617798,0.3885069191455841,49,3.6348507404327393,geom_gcn,texas,3,True,183,279,0.06093189964157706,"{'low': [0.28674355149269104, 0.2723245322704315, 0.22049762308597565, 0.2204342633485794], 'high': [0.4967781603336334, 0.24796436727046967, 0.2552575469017029]}"
texas,harp_scalar_gate,3,0.9885057210922241,0.8644067645072937,0.8648648858070374,0.11162558197975159,0.32133719325065613,0.42382118105888367,11,2.3382794857025146,geom_gcn,texas,3,True,183,279,0.06093189964157706,"{'low': [0.2740015387535095, 0.26292937994003296, 0.23113776743412018, 0.23193132877349854], 'high': [0.3601745069026947, 0.3193940222263336, 0.3204314708709717]}"
texas,harp_scalar_no_signal,3,1.0,0.8813559412956238,0.8108108043670654,0.009426825679838657,0.470442533493042,0.5763915777206421,22,2.279550790786743,geom_gcn,texas,3,True,183,279,0.06093189964157706,"{'low': [0.28754177689552307, 0.2663237154483795, 0.2229095995426178, 0.223224937915802], 'high': [0.38224855065345764, 0.29327207803726196, 0.3244794011116028]}"
texas,mixhop,4,1.0,0.9322034120559692,0.9189189076423645,0.0005054285284131765,0.2147241085767746,0.4785327911376953,152,3.3069005012512207,geom_gcn,texas,4,True,183,279,0.06093189964157706,
texas,harp,4,1.0,0.9491525292396545,0.9189189076423645,0.0009965605568140745,0.1969630867242813,0.32593271136283875,44,3.607813835144043,geom_gcn,texas,4,True,183,279,0.06093189964157706,"{'low': [0.281917005777359, 0.2842710018157959, 0.220000758767128, 0.21381117403507233], 'high': [0.4690893292427063, 0.2654087245464325, 0.2655019164085388]}"
texas,harp_no_signal,4,1.0,0.9661017060279846,0.837837815284729,0.00023308341042138636,0.2616538107395172,0.38995322585105896,137,6.656371593475342,geom_gcn,texas,4,True,183,279,0.06093189964157706,"{'low': [0.2928892970085144, 0.28188592195510864, 0.21479679644107819, 0.21042796969413757], 'high': [0.5522802472114563, 0.22455208003520966, 0.22316765785217285]}"
texas,harp_scalar_gate,4,1.0,0.9661017060279846,0.8648648858070374,0.0003628500271588564,0.1928091049194336,0.4078672230243683,81,4.981881618499756,geom_gcn,texas,4,True,183,279,0.06093189964157706,"{'low': [0.2725204825401306, 0.26260054111480713, 0.23550286889076233, 0.2293761521577835], 'high': [0.3840671479701996, 0.2814106345176697, 0.3345222473144531]}"
texas,harp_scalar_no_signal,4,1.0,0.9661017060279846,0.8648648858070374,0.0003440750006120652,0.19512704014778137,0.4021773934364319,83,4.82630181312561,geom_gcn,texas,4,True,183,279,0.06093189964157706,"{'low': [0.2716781795024872, 0.26365846395492554, 0.23561683297157288, 0.2290465384721756], 'high': [0.3838536739349365, 0.28149083256721497, 0.33465540409088135]}"
texas,mixhop,5,1.0,0.9491525292396545,0.8108108043670654,0.0003601703210733831,0.3337082862854004,0.3947609066963196,159,3.434133291244507,geom_gcn,texas,5,True,183,279,0.06093189964157706,
texas,harp,5,1.0,0.9491525292396545,0.837837815284729,0.0005725158262066543,0.24397067725658417,0.3281179666519165,84,5.104370832443237,geom_gcn,texas,5,True,183,279,0.06093189964157706,"{'low': [0.29442036151885986, 0.30644920468330383, 0.19972528517246246, 0.19940517842769623], 'high': [0.525847315788269, 0.2441563904285431, 0.2299962341785431]}"
texas,harp_no_signal,5,1.0,0.9322034120559692,0.9459459185600281,0.0006495268899016082,0.3899894654750824,0.2725695073604584,59,4.153282642364502,geom_gcn,texas,5,True,183,279,0.06093189964157706,"{'low': [0.2922671139240265, 0.3062731921672821, 0.20086635649204254, 0.20059333741664886], 'high': [0.5019811987876892, 0.2537931203842163, 0.2442256212234497]}"
texas,harp_scalar_gate,5,1.0,0.9152542352676392,0.7027027010917664,0.025845052674412727,0.42426371574401855,0.7469062209129333,15,2.6409826278686523,geom_gcn,texas,5,True,183,279,0.06093189964157706,"{'low': [0.2547599971294403, 0.26604288816452026, 0.24010366201400757, 0.23909343779087067], 'high': [0.3778712749481201, 0.3041585087776184, 0.31797024607658386]}"
